time	X	Gly	EA	Ace13	Ace12	EtOH13	EtOH12	Ammo
3	0.03811	33.4066843322182	15.9308453187304	0.180960040258202	0.296936501437303	0.204570400010159	0.114883021412269	0.388513976658047
4	0.05439	33.1228749446169	15.7851218884674	0.222640572176022	0.367215994816329	0.280436150107619	0.132927222236328	0.652203338231012
5	0.07881	31.831106171508	15.0838697980832	0.298662199679748	0.488847569834778	0.489927453131849	0.145394765886961	0.662870975395121
6	0.12358	26.5055470905803	12.5687544133563	0.351222517644415	0.555455387402602	0.702873381964064	0.153266385646364	0.936445994493812
7	0.19092	25.0712075122733	11.9567481091818	0.539103393308249	0.723174190517248	1.17118486371632	0.165163510903056	0.75993578922632
8	0.30636	20.9464152706664	10.0153712193465	0.742138015335998	0.899537662699428	1.78046857559958	0.210100488755606	0.828693469969736
9	0.4477	19.3825312397111	9.13849808799282	1.11587755315273	1.2260882674918	2.787115150979	0.291898187731456	0.847197862182128
10	0.6031	12.2023320332157	5.18121833181393	1.38119852083855	1.4799291016477	4.2933381140131	0.450714283182672	1.73216553910418
